Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Batteriehalter,1,Battery_Cell,
"C1, C22, C40",0805,3,1uF,C6119929
"C10, C13, C14, C15, C21, C34, C36, C6, C9",1206,9,10uF,
"C11, C12",0805,2,20pF,
"C16, C17, C18, C35, C5, C7, C8",0805,7,0.1uF,
"C19, C20, C25",0805,3,22uF,
C2,0805,1,4u7F,
"C23, C24, C26",0805,3,100nF,
"C27, C37, C38",0805,3,1uF,
C28,0805,1,10nF,
C29,0805,1,1nF,
"C3, C41, C42, C43, C44",0805,5,100nF,
"C30, C31",0805,2,330pF,
C32,0805,1,390pF,
C33,0805,1,"0,1uF",
C39,CP_Elec_6.3x5.9,1,47uF,
C4,0805,1,"1uF, 25V",
"D1, D2, D3",SOT-143_Handsoldering,3,PRTR5V0U2X_1727-3884-6-ND,
D4,0805,1,Orange,
D5,0805,1,Green,
FB1,0805,1,Ferrite_Bead_Small,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
LS1,LS,1,Speaker,
"Q1, Q2",SOT-23-3,2,Q_PNP_Darlington_BCE,
Q3,SOT-23,1,BC817-40,
"R1, R2",0805,2,5.1k,
"R10, R11, R42",0805,3,2k,
"R12, R13, R14, R15, R19, R20",0805,6,33,
"R16, R35, R51",0805,3,1k,
"R17, R18, R22, R36, R37, R39, R40, R43, R44, R45, R46",0805,11,10k,
"R21, R24, R49",0805,3,1M,
R23,0805,1,33k,
"R25, R26, R28, R29, R30, R31, R32, R7",0805,8,0,
"R27, R3, R33",0805,3,10k,
"R34, R5, R8, R9",0805,4,100,
"R38, R41",0805,2,1.5k,
R4,0805,1,3.3k,
"R47, R50",0805,2,1.8k,
R48,0805,1,2.5k,
R6,0805,1,4.7,
"SW1, SW8",Taster,2,Reset,
"SW2, SW9",Taster,2,Boot,
SW3,Taster,1,Volume+,
SW4,Taster,1,Volume-,
SW5,Taster,1,Modi1,
SW6,Taster,1,Modi0,
SW7,SW,1,Switch Slide SPDT 100mA 12V,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U10,ToF,1,ToF,
"U11, U12, U13, U9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812,
U2,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,1,ES8388,
U3,MP1720,1,MP1720,
U4,2096568,1,TF_CARD,
U5,SOT-23-6,1,DW01A,
U6,TSSOP-8_4.4x3mm_P0.65mm,1,FS8205A,
U7,SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm,1,HM4056H,
U8,SOT-23-5_HandSoldering,1,TPLP5907MFX-3.3,
X1,USB-C-SMD_TYPE-C-USB-17,1,USB3.1C16PFSMT,
